Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-21,143.93,144.6,142.78,143.43,142.6308,75834000
2021-09-22,144.45,146.43,143.7,145.85,145.0373,76404300
2021-09-23,146.65,147.08,145.64,146.83,146.0118,64838200
2021-09-24,145.66,147.47,145.56,146.92,146.1013,53477900
2021-09-27,145.47,145.96,143.82,145.37,144.56,74150700
2021-09-28,143.25,144.75,141.69,141.91,141.1192,108972300
2021-09-29,142.47,144.45,142.03,142.83,142.0341,74602000
2021-09-30,143.66,144.38,141.28,141.5,140.7115,89056700
2021-10-01,141.9,142.92,139.11,142.65,141.8551,94639600
2021-10-04,141.76,142.21,138.27,139.14,138.3647,98322000
2021-10-05,139.49,142.24,139.36,141.11,140.3237,80861100
2021-10-06,139.47,142.15,138.37,142,141.2087,83221100
2021-10-07,143.06,144.22,142.72,143.29,142.4915,61732700
2021-10-08,144.03,144.18,142.56,142.9,142.1037,58773200
2021-10-11,142.27,144.81,141.81,142.81,142.0142,64452200
2021-10-12,143.23,143.25,141.04,141.51,140.7215,73035900
2021-10-13,141.24,141.4,139.2,140.91,140.1248,78762700
2021-10-14,142.11,143.88,141.51,143.76,142.9589,69907100
2021-10-15,143.77,144.9,143.51,144.84,144.0329,67940300
2021-10-18,143.45,146.84,143.16,146.55,145.7334,85589200
2021-10-19,147.01,149.17,146.55,148.76,147.9311,76378900
2021-10-20,148.7,149.75,148.12,149.26,148.4283,58418800
2021-10-21,148.81,149.64,147.87,149.48,148.647,61421000
2021-10-22,149.69,150.18,148.64,148.69,147.8615,58883400
2021-10-25,148.68,149.37,147.62,148.64,147.8117,50720600
2021-10-26,149.33,150.84,149.01,149.32,148.4879,60893400
2021-10-27,149.36,149.73,148.49,148.85,148.0206,56094900
2021-10-28,149.82,153.17,149.72,152.57,151.7198,100077900
2021-10-29,147.22,149.94,146.41,149.8,148.9653,124953200
2021-11-01,148.99,149.7,147.8,148.96,148.1299,74588300
2021-11-02,148.66,151.57,148.65,150.02,149.184,69122000
2021-11-03,150.39,151.97,149.82,151.49,150.6458,54511500
2021-11-04,151.58,152.43,150.64,150.96,150.1188,60394600
2021-11-05,151.89,152.2,150.06,151.28,150.6566,65463900
2021-11-08,151.41,151.57,150.16,150.44,149.82,55020900
2021-11-09,150.2,151.43,150.06,150.81,150.1885,56787900
2021-11-10,150.02,150.13,147.85,147.92,147.3104,65187100
2021-11-11,148.96,149.43,147.68,147.87,147.2606,41000000
2021-11-12,148.43,150.4,147.48,149.99,149.3719,63804000
2021-11-15,150.37,151.88,149.43,150,149.3819,59222800
2021-11-16,149.94,151.49,149.34,151,150.3777,59256200
2021-11-17,151,155,150.99,153.49,152.8575,88807000
2021-11-18,153.71,158.67,153.05,157.87,157.2194,137827700
2021-11-19,157.65,161.02,156.53,160.55,159.8884,117305600
2021-11-22,161.68,165.7,161,161.02,160.3564,117467900
2021-11-23,161.12,161.8,159.06,161.41,160.7448,96041900
2021-11-24,160.75,162.14,159.64,161.94,161.2726,69463600
2021-11-26,159.57,160.45,156.36,156.81,156.1638,76959800
2021-11-29,159.37,161.19,158.79,160.24,159.5797,88748200
2021-11-30,159.99,165.52,159.92,165.3,164.6188,174048100
2021-12-01,167.48,170.3,164.53,164.77,164.091,152052500
2021-12-02,158.74,164.2,157.8,163.76,163.0851,136739200
2021-12-03,164.02,164.96,159.72,161.84,161.1731,118023100
2021-12-06,164.29,167.88,164.28,165.32,164.6387,107497000
2021-12-07,169.08,171.58,168.34,171.18,170.4746,120405400
2021-12-08,172.13,175.96,170.7,175.08,174.3585,116998900
2021-12-09,174.91,176.75,173.92,174.56,173.8406,108923700
2021-12-10,175.21,179.63,174.69,179.45,178.7105,115402700
2021-12-13,181.12,182.13,175.53,175.74,175.0158,153237000
2021-12-14,175.25,177.74,172.21,174.33,173.6116,139380400
2021-12-15,175.11,179.5,172.31,179.3,178.5611,131063300
2021-12-16,179.28,181.14,170.75,172.26,171.5501,150185800
2021-12-17,169.93,173.47,169.69,171.14,170.4347,195432700
2021-12-20,168.28,170.58,167.46,169.75,169.0505,107499100
2021-12-21,171.56,173.2,169.12,172.99,172.2771,91185900
2021-12-22,173.04,175.86,172.15,175.64,174.9162,92135300
2021-12-23,175.85,176.85,175.27,176.28,175.5536,68356600
2021-12-27,177.09,180.42,177.07,180.33,179.5869,74919600
2021-12-28,180.16,181.33,178.53,179.29,178.5511,79144300
2021-12-29,179.33,180.63,178.14,179.38,178.6408,62348900
2021-12-30,179.47,180.57,178.09,178.2,177.4656,59773000
2021-12-31,178.09,179.23,177.26,177.57,176.8382,64062300
2022-01-03,177.83,182.88,177.71,182.01,181.2599,104487900
2022-01-04,182.63,182.94,179.12,179.7,178.9595,99310400
2022-01-05,179.61,180.17,174.64,174.92,174.1992,94537600
2022-01-06,172.7,175.3,171.64,172,171.2912,96904000
2022-01-07,172.89,174.14,171.03,172.17,171.4605,86709100
2022-01-10,169.08,172.5,168.17,172.19,171.4804,106765600
2022-01-11,172.32,175.18,170.82,175.08,174.3585,76138300
2022-01-12,176.12,177.18,174.82,175.53,174.8066,74805200
2022-01-13,175.78,176.62,171.79,172.19,171.4804,84505800
2022-01-14,171.34,173.78,171.09,173.07,172.3568,80440800
2022-01-18,171.51,172.54,169.41,169.8,169.1003,90956700
2022-01-19,170,171.08,165.94,166.23,165.545,94815000
2022-01-20,166.98,169.68,164.18,164.51,163.8321,91420500
2022-01-21,164.42,166.33,162.3,162.41,161.7407,122848900
2022-01-24,160.02,162.3,154.7,161.62,160.954,162294600
2022-01-25,158.98,162.76,157.02,159.78,159.1215,115798400
2022-01-26,163.5,164.39,157.82,159.69,159.0319,108275300
2022-01-27,162.45,163.84,158.28,159.22,158.5639,121954600
2022-01-28,165.71,170.35,162.8,170.33,169.6281,179935700
2022-01-31,170.16,175,169.51,174.78,174.0597,115541600
2022-02-01,174.01,174.84,172.31,174.61,173.8904,86213900
2022-02-02,174.75,175.88,173.33,175.84,175.1154,84914300
2022-02-03,174.48,176.24,172.12,172.9,172.1875,89418100
2022-02-04,171.68,174.1,170.68,172.39,171.8983,82465400
2022-02-07,172.86,173.95,170.95,171.66,171.1704,77251200
2022-02-08,171.73,175.35,171.43,174.83,174.3313,74829200
2022-02-09,176.05,176.65,174.9,176.28,175.7772,71285000
2022-02-10,174.14,175.48,171.55,172.12,171.6291,90865900
2022-02-11,172.33,173.08,168.04,168.64,168.159,98670700
2022-02-14,167.37,169.58,166.56,168.88,168.3983,86185500
2022-02-15,170.97,172.95,170.25,172.79,172.2972,62527400
2022-02-16,171.85,173.34,170.05,172.55,172.0579,61177400
2022-02-17,171.03,171.91,168.47,168.88,168.3983,69589300
2022-02-18,169.82,170.54,166.19,167.3,166.8228,82772700
2022-02-22,164.98,166.69,162.15,164.32,163.8513,91162800
2022-02-23,165.54,166.15,159.75,160.07,159.6134,90009200
2022-02-24,152.58,162.85,152,162.74,162.2758,141147500
2022-02-25,163.84,165.12,160.87,164.85,164.3798,91974200
2022-02-28,163.06,165.42,162.43,165.12,164.649,95056600
2022-03-01,164.7,166.6,161.97,163.2,162.7345,83474400
2022-03-02,164.39,167.36,162.95,166.56,166.0849,79724800
2022-03-03,168.47,168.91,165.55,166.23,165.7559,76678400
2022-03-04,164.49,165.55,162.1,163.17,162.7046,83737200
2022-03-07,163.36,165.02,159.04,159.3,158.8456,96418800
2022-03-08,158.82,162.88,155.8,157.44,156.9909,131148300
2022-03-09,161.48,163.41,159.41,162.95,162.4852,91454900
2022-03-10,160.2,160.39,155.98,158.52,158.0679,105342000
2022-03-11,158.93,159.28,154.5,154.73,154.2887,96970100
2022-03-14,151.45,154.12,150.1,150.62,150.1904,108732100
2022-03-15,150.9,155.57,150.38,155.09,154.6477,92964300
2022-03-16,157.05,160,154.46,159.59,159.1348,102300200
2022-03-17,158.61,161,157.63,160.62,160.1619,75615400
2022-03-18,160.51,164.48,159.76,163.98,163.5123,123511700
2022-03-21,163.51,166.35,163.01,165.38,164.9083,95811400
2022-03-22,165.51,169.42,164.91,168.82,168.3385,81532000
2022-03-23,167.99,172.64,167.65,170.21,169.7245,98062700
2022-03-24,171.06,174.14,170.21,174.07,173.5735,90131400
2022-03-25,173.88,175.28,172.75,174.72,174.2217,80546200
2022-03-28,172.17,175.73,172,175.6,175.0992,90371900
2022-03-29,176.69,179.01,176.34,178.96,178.4496,100589400
2022-03-30,178.55,179.61,176.7,177.77,177.263,92633200
2022-03-31,177.84,178.03,174.4,174.61,174.112,103049300
2022-04-01,174.03,174.88,171.94,174.31,173.8128,78751300
2022-04-04,174.57,178.49,174.44,178.44,177.9311,76468400
2022-04-05,177.5,178.3,174.42,175.06,174.5607,73401800
2022-04-06,172.36,173.63,170.13,171.83,171.3399,89058800
2022-04-07,171.16,173.36,169.85,172.14,171.649,77594700
2022-04-08,171.78,171.78,169.2,170.09,169.6049,76575500
2022-04-11,168.71,169.03,165.5,165.75,165.2772,72246700
2022-04-12,168.02,169.87,166.64,167.66,167.1818,79265200
2022-04-13,167.39,171.04,166.77,170.4,169.914,70618900
2022-04-14,170.62,171.27,165.04,165.29,164.8186,75329400
2022-04-18,163.92,166.6,163.57,165.07,164.5992,69023900
2022-04-19,165.02,167.82,163.91,167.4,166.9225,67723800
2022-04-20,168.76,168.88,166.1,167.23,166.753,67929800
2022-04-21,168.91,171.53,165.91,166.42,165.9453,87227800
2022-04-22,166.46,167.87,161.5,161.79,161.3285,84882400
2022-04-25,161.12,163.17,158.46,162.88,162.4154,96046400
2022-04-26,162.25,162.34,156.72,156.8,156.3528,95623200
2022-04-27,155.91,159.79,155.38,156.57,156.1234,88063200
2022-04-28,159.25,164.52,158.93,163.64,163.1733,130216800
2022-04-29,161.84,166.2,157.25,157.65,157.2003,131747600
2022-05-02,156.71,158.23,153.27,157.96,157.5095,123055300
2022-05-03,158.15,160.71,156.32,159.48,159.0251,88966500
2022-05-04,159.67,166.48,159.26,166.02,165.5465,108256500
2022-05-05,163.85,164.08,154.95,156.77,156.3229,130525300
2022-05-06,156.01,159.44,154.18,157.28,157.0618,116124600
2022-05-09,154.93,155.83,151.49,152.06,151.8491,131577900
2022-05-10,155.52,156.74,152.93,154.51,154.2957,115366700
2022-05-11,153.5,155.45,145.81,146.5,146.2968,142689800
2022-05-12,142.77,146.2,138.8,142.56,142.3623,182602000
2022-05-13,144.59,148.1,143.11,147.11,146.9059,113990900
2022-05-16,145.55,147.52,144.18,145.54,145.3381,86643800
2022-05-17,148.86,149.77,146.68,149.24,149.033,78336300
2022-05-18,146.85,147.36,139.9,140.82,140.6247,109742900
2022-05-19,139.88,141.66,136.6,137.35,137.1595,136095600
2022-05-20,139.09,140.7,132.61,137.59,137.3991,137426100
2022-05-23,137.79,143.26,137.65,143.11,142.9115,117726300
2022-05-24,140.81,141.97,137.33,140.36,140.1653,104132700
2022-05-25,138.43,141.79,138.34,140.52,140.3251,92482700
2022-05-26,137.39,144.34,137.14,143.78,143.5806,90601500
2022-05-27,145.39,149.68,145.26,149.64,149.4324,90978500
2022-05-31,149.07,150.66,146.84,148.84,148.6335,103718400
2022-06-01,149.9,151.74,147.68,148.71,148.5037,74286600
2022-06-02,147.83,151.27,146.86,151.21,151.0003,72348100
2022-06-03,146.9,147.97,144.46,145.38,145.1783,88570300
2022-06-06,147.03,148.57,144.9,146.14,145.9373,71598400
2022-06-07,144.35,149,144.1,148.71,148.5037,67808200
2022-06-08,148.58,149.87,147.46,147.96,147.7548,53950200
2022-06-09,147.08,147.95,142.53,142.64,142.4421,69473000
2022-06-10,140.28,140.76,137.06,137.13,136.9398,91437900
2022-06-13,132.87,135.2,131.44,131.88,131.6971,122207100
2022-06-14,133.13,133.89,131.48,132.76,132.5758,84784300
2022-06-15,134.29,137.34,132.16,135.43,135.2421,91533000
2022-06-16,132.08,132.39,129.04,130.06,129.8796,108123900
2022-06-17,130.07,133.08,129.81,131.56,131.3775,134520300
2022-06-21,133.42,137.06,133.32,135.87,135.6815,81000500
2022-06-22,134.79,137.76,133.91,135.35,135.1623,73409200
2022-06-23,136.82,138.59,135.63,138.27,138.0782,72433800
2022-06-24,139.9,141.91,139.77,141.66,141.4635,89116800
2022-06-27,142.7,143.49,140.97,141.66,141.4635,70207900
2022-06-28,142.13,143.42,137.32,137.44,137.2494,67083400
2022-06-29,137.46,140.67,136.67,139.23,139.0369,66242400
2022-06-30,137.25,138.37,133.77,136.72,136.5304,98964500
2022-07-01,136.04,139.04,135.66,138.93,138.7373,71051600
2022-07-05,137.77,141.61,136.93,141.56,141.3636,73353800
2022-07-06,141.35,144.12,141.08,142.92,142.7218,74064300
2022-07-07,143.29,146.55,143.28,146.35,146.147,66253700
2022-07-08,145.26,147.55,145,147.04,146.836,64547800
2022-07-11,145.67,146.64,143.78,144.87,144.669,63141600
2022-07-12,145.76,148.45,145.05,145.86,145.6577,77588800
2022-07-13,142.99,146.45,142.12,145.49,145.2882,71185600
2022-07-14,144.08,148.95,143.25,148.47,148.2641,78140700
2022-07-15,149.78,150.86,148.2,150.17,149.9617,76259900
2022-07-18,150.74,151.57,146.7,147.07,146.866,81420900
2022-07-19,147.92,151.23,146.91,151,150.7905,82982400
2022-07-20,151.12,153.72,150.37,153.04,152.8277,64823400
2022-07-21,154.5,155.57,151.94,155.35,155.1345,65086600
2022-07-22,155.39,156.28,153.41,154.09,153.8763,66675400
2022-07-25,154.01,155.04,152.28,152.95,152.7378,53623900
2022-07-26,152.26,153.09,150.8,151.6,151.3897,55138700
2022-07-27,152.58,157.33,152.16,156.79,156.5725,78620700
2022-07-28,156.98,157.64,154.41,157.35,157.1317,81378700
2022-07-29,161.24,163.63,159.5,162.51,162.2846,101689200
2022-08-01,161.01,163.59,160.89,161.51,161.286,67829400
2022-08-02,160.1,162.41,159.63,160.01,159.788,59907000
2022-08-03,160.84,166.59,160.75,166.13,165.8996,82507500
2022-08-04,166.01,167.19,164.43,165.81,165.58,55474100
2022-08-05,163.21,165.85,163,165.35,165.35,56646600
